0,1,2,3,4,5,6,7,8
1,miRNA_primary_transcript,17369,17436,-,MI0022705,MI0022705,Name=hsa-mir-6859-1,
1,miRNA,17409,17431,-,MIMAT0027618,MIMAT0027618,Name=hsa-miR-6859-5p,Derives_from=MI0022705
1,miRNA,17369,17391,-,MIMAT0027619,MIMAT0027619,Name=hsa-miR-6859-3p,Derives_from=MI0022705
1,miRNA_primary_transcript,30366,30503,+,MI0006363,MI0006363,Name=hsa-mir-1302-2,
1,miRNA,30438,30458,+,MIMAT0005890,MIMAT0005890,Name=hsa-miR-1302,Derives_from=MI0006363
1,miRNA_primary_transcript,187891,187958,-,MI0026420,MI0026420,Name=hsa-mir-6859-2,
1,miRNA,187931,187953,-,MIMAT0027618_1,MIMAT0027618,Name=hsa-miR-6859-5p,Derives_from=MI0026420
1,miRNA,187891,187913,-,MIMAT0027619_1,MIMAT0027619,Name=hsa-miR-6859-3p,Derives_from=MI0026420
1,miRNA_primary_transcript,632615,632685,-,MI0039740,MI0039740,Name=hsa-mir-12136,
1,miRNA,632668,632685,-,MIMAT0049032,MIMAT0049032,Name=hsa-miR-12136,Derives_from=MI0039740
1,miRNA_primary_transcript,1167104,1167198,+,MI0000342,MI0000342,Name=hsa-mir-200b,
1,miRNA,1167124,1167145,+,MIMAT0004571,MIMAT0004571,Name=hsa-miR-200b-5p,Derives_from=MI0000342
1,miRNA,1167160,1167181,+,MIMAT0000318,MIMAT0000318,Name=hsa-miR-200b-3p,Derives_from=MI0000342
1,miRNA_primary_transcript,1167863,1167952,+,MI0000737,MI0000737,Name=hsa-mir-200a,
1,miRNA,1167878,1167899,+,MIMAT0001620,MIMAT0001620,Name=hsa-miR-200a-5p,Derives_from=MI0000737
1,miRNA,1167916,1167937,+,MIMAT0000682,MIMAT0000682,Name=hsa-miR-200a-3p,Derives_from=MI0000737
1,miRNA_primary_transcript,1169005,1169087,+,MI0001641,MI0001641,Name=hsa-mir-429,
1,miRNA,1169055,1169076,+,MIMAT0001536,MIMAT0001536,Name=hsa-miR-429,Derives_from=MI0001641
1,miRNA_primary_transcript,1296110,1296170,-,MI0022571,MI0022571,Name=hsa-mir-6726,
1,miRNA,1296145,1296165,-,MIMAT0027353,MIMAT0027353,Name=hsa-miR-6726-5p,Derives_from=MI0022571
1,miRNA,1296110,1296129,-,MIMAT0027354,MIMAT0027354,Name=hsa-miR-6726-3p,Derives_from=MI0022571
1,miRNA_primary_transcript,1312502,1312566,-,MI0022572,MI0022572,Name=hsa-mir-6727,
1,miRNA,1312539,1312561,-,MIMAT0027355,MIMAT0027355,Name=hsa-miR-6727-5p,Derives_from=MI0022572
1,miRNA,1312502,1312521,-,MIMAT0027356,MIMAT0027356,Name=hsa-miR-6727-3p,Derives_from=MI0022572
1,miRNA_primary_transcript,1339650,1339708,-,MI0022653,MI0022653,Name=hsa-mir-6808,
1,miRNA,1339682,1339703,-,MIMAT0027516,MIMAT0027516,Name=hsa-miR-6808-5p,Derives_from=MI0022653
1,miRNA,1339650,1339670,-,MIMAT0027517,MIMAT0027517,Name=hsa-miR-6808-3p,Derives_from=MI0022653
1,miRNA_primary_transcript,3127975,3128035,+,MI0015861,MI0015861,Name=hsa-mir-4251,
1,miRNA,3128009,3128025,+,MIMAT0016883,MIMAT0016883,Name=hsa-miR-4251,Derives_from=MI0015861
1,miRNA_primary_transcript,3560695,3560790,-,MI0003556,MI0003556,Name=hsa-mir-551a,
1,miRNA,3560710,3560730,-,MIMAT0003214,MIMAT0003214,Name=hsa-miR-551a,Derives_from=MI0003556
1,miRNA_primary_transcript,5862672,5862741,-,MI0017322,MI0017322,Name=hsa-mir-4689,
1,miRNA,5862711,5862732,-,MIMAT0019778,MIMAT0019778,Name=hsa-miR-4689,Derives_from=MI0017322
1,miRNA_primary_transcript,6429834,6429896,-,MI0015864,MI0015864,Name=hsa-mir-4252,
1,miRNA,6429844,6429862,-,MIMAT0016886,MIMAT0016886,Name=hsa-miR-4252,Derives_from=MI0015864
1,miRNA_primary_transcript,8866502,8866590,-,MI0022573,MI0022573,Name=hsa-mir-6728,
1,miRNA,8866563,8866585,-,MIMAT0027357,MIMAT0027357,Name=hsa-miR-6728-5p,Derives_from=MI0022573
