0,1,2,3,4,5,6,7,8
1,miRNA_primary_transcript,17369,17436,-,MI0022705,MI0022705,Name=hsa-mir-6859-1,
1,miRNA_primary_transcript,30366,30503,+,MI0006363,MI0006363,Name=hsa-mir-1302-2,
1,miRNA_primary_transcript,187891,187958,-,MI0026420,MI0026420,Name=hsa-mir-6859-2,
1,miRNA_primary_transcript,632615,632685,-,MI0039740,MI0039740,Name=hsa-mir-12136,
1,miRNA_primary_transcript,1167104,1167198,+,MI0000342,MI0000342,Name=hsa-mir-200b,
1,miRNA_primary_transcript,1167863,1167952,+,MI0000737,MI0000737,Name=hsa-mir-200a,
1,miRNA_primary_transcript,1169005,1169087,+,MI0001641,MI0001641,Name=hsa-mir-429,
1,miRNA_primary_transcript,1296110,1296170,-,MI0022571,MI0022571,Name=hsa-mir-6726,
1,miRNA_primary_transcript,1312502,1312566,-,MI0022572,MI0022572,Name=hsa-mir-6727,
1,miRNA_primary_transcript,1339650,1339708,-,MI0022653,MI0022653,Name=hsa-mir-6808,
1,miRNA_primary_transcript,3127975,3128035,+,MI0015861,MI0015861,Name=hsa-mir-4251,
1,miRNA_primary_transcript,3560695,3560790,-,MI0003556,MI0003556,Name=hsa-mir-551a,
1,miRNA_primary_transcript,5862672,5862741,-,MI0017322,MI0017322,Name=hsa-mir-4689,
1,miRNA_primary_transcript,6429834,6429896,-,MI0015864,MI0015864,Name=hsa-mir-4252,
1,miRNA_primary_transcript,8866502,8866590,-,MI0022573,MI0022573,Name=hsa-mir-6728,
1,miRNA_primary_transcript,9151668,9151777,-,MI0000268,MI0000268,Name=hsa-mir-34a,
1,miRNA_primary_transcript,9967381,9967458,+,MI0019304,MI0019304,Name=hsa-mir-5697,
1,miRNA_primary_transcript,12029158,12029222,+,MI0022574,MI0022574,Name=hsa-mir-6729,
1,miRNA_primary_transcript,12166943,12167038,+,MI0025516,MI0025516,Name=hsa-mir-7846,
1,miRNA_primary_transcript,12191713,12191773,+,MI0017259,MI0017259,Name=hsa-mir-4632,
1,miRNA_primary_transcript,12578957,12579023,-,MI0022575,MI0022575,Name=hsa-mir-6730,
1,miRNA_primary_transcript,16858949,16859021,-,MI0016076,MI0016076,Name=hsa-mir-3675,
1,miRNA_primary_transcript,17277889,17277975,+,MI0016990,MI0016990,Name=hsa-mir-3972,
1,miRNA_primary_transcript,18883202,18883275,-,MI0017328,MI0017328,Name=hsa-mir-4695,
1,miRNA_primary_transcript,18897071,18897148,-,MI0006352,MI0006352,Name=hsa-mir-1290,
1,miRNA_primary_transcript,20633679,20633788,+,MI0020361,MI0020361,Name=hsa-mir-6084,
1,miRNA_primary_transcript,20988314,20988432,-,MI0006390,MI0006390,Name=hsa-mir-1256,
1,miRNA_primary_transcript,22266239,22266300,+,MI0016754,MI0016754,Name=hsa-mir-4418,
1,miRNA_primary_transcript,22633258,22633366,-,MI0021271,MI0021271,Name=hsa-mir-6127,
1,miRNA_primary_transcript,22719517,22719598,+,MI0017316,MI0017316,Name=hsa-mir-4684,
1,miRNA_primary_transcript,22863159,22863226,-,MI0015860,MI0015860,Name=hsa-mir-4253,
1,miRNA_primary_transcript,23044305,23044372,+,MI0014127,MI0014127,Name=hsa-mir-3115,
1,miRNA_primary_transcript,23929070,23929147,+,MI0016756,MI0016756,Name=hsa-mir-378f,
1,miRNA_primary_transcript,24919345,24919416,-,MI0022576,MI0022576,Name=hsa-mir-6731,
1,miRNA_primary_transcript,25023503,25023586,+,MI0016764,MI0016764,Name=hsa-mir-4425,
1,miRNA_primary_transcript,25906362,25906454,-,MI0016423,MI0016423,Name=hsa-mir-3917,
1,miRNA_primary_transcript,26554542,26554593,+,MI0009986,MI0009986,Name=hsa-mir-1976,
1,miRNA_primary_transcript,30739156,30739232,-,MI0016757,MI0016757,Name=hsa-mir-4420,
1,miRNA_primary_transcript,31758660,31758735,-,MI0015862,MI0015862,Name=hsa-mir-4254,
1,miRNA_primary_transcript,32086949,32087007,+,MI0019142,MI0019142,Name=hsa-mir-5585,
1,miRNA_primary_transcript,33332393,33332492,-,MI0015995,MI0015995,Name=hsa-mir-3605,
1,miRNA_primary_transcript,34669599,34669694,-,MI0003557,MI0003557,Name=hsa-mir-552,
1,miRNA_primary_transcript,37161563,37161634,+,MI0015863,MI0015863,Name=hsa-mir-4255,
1,miRNA_primary_transcript,37480230,37480289,+,MI0022577,MI0022577,Name=hsa-mir-6732,
1,miRNA_primary_transcript,37500935,37500994,-,MI0019136,MI0019136,Name=hsa-mir-5581,
1,miRNA_primary_transcript,38089231,38089329,+,MI0016060,MI0016060,Name=hsa-mir-3659,
1,miRNA_primary_transcript,40754355,40754446,+,MI0000749,MI0000749,Name=hsa-mir-30e,
1,miRNA_primary_transcript,40757284,40757372,+,MI0000736,MI0000736,Name=hsa-mir-30c-1,
1,miRNA_primary_transcript,43171652,43171712,-,MI0022578,MI0022578,Name=hsa-mir-6733,
1,miRNA_primary_transcript,43364648,43364715,-,MI0022579,MI0022579,Name=hsa-mir-6734,
1,miRNA_primary_transcript,43448539,43448611,+,MI0022580,MI0022580,Name=hsa-mir-6735,
1,miRNA_primary_transcript,43838622,43838683,+,MI0020356,MI0020356,Name=hsa-mir-6079,
1,miRNA_primary_transcript,44545493,44545552,+,MI0019141,MI0019141,Name=hsa-mir-5584,
1,miRNA_primary_transcript,51059837,51059905,+,MI0016758,MI0016758,Name=hsa-mir-4421,
1,miRNA_primary_transcript,51060018,51060103,+,MI0022211,MI0022211,Name=hsa-mir-6500,
1,miRNA_primary_transcript,51836344,51836402,-,MI0003941,MI0003941,Name=hsa-mir-761,
1,miRNA_primary_transcript,54054079,54054154,+,MI0017426,MI0017426,Name=hsa-mir-4781,
1,miRNA_primary_transcript,55225641,55225723,+,MI0016759,MI0016759,Name=hsa-mir-4422,
1,miRNA_primary_transcript,59733227,59733296,-,MI0017345,MI0017345,Name=hsa-mir-4711,
