Derives_from,Accession,Name,Arm,Chromosome,Strand,Start,End
MI0022705,MIMAT0027618,hsa-miR-6859-5p,5p,chr1,-,17409,17431
MI0022705,MIMAT0027619,hsa-miR-6859-3p,3p,chr1,-,17369,17391
MI0006363,MIMAT0005890,hsa-miR-1302,3p,chr1,+,30438,30458
MI0026420,MIMAT0027618,hsa-miR-6859-5p,5p,chr1,-,187931,187953
MI0026420,MIMAT0027619,hsa-miR-6859-3p,3p,chr1,-,187891,187913
MI0039740,MIMAT0049032,hsa-miR-12136,5p,chr1,-,632668,632685
MI0000342,MIMAT0004571,hsa-miR-200b-5p,5p,chr1,+,1167124,1167145
MI0000342,MIMAT0000318,hsa-miR-200b-3p,3p,chr1,+,1167160,1167181
MI0000737,MIMAT0001620,hsa-miR-200a-5p,5p,chr1,+,1167878,1167899
MI0000737,MIMAT0000682,hsa-miR-200a-3p,3p,chr1,+,1167916,1167937
MI0001641,MIMAT0001536,hsa-miR-429,3p,chr1,+,1169055,1169076
MI0022571,MIMAT0027353,hsa-miR-6726-5p,5p,chr1,-,1296145,1296165
MI0022571,MIMAT0027354,hsa-miR-6726-3p,3p,chr1,-,1296110,1296129
MI0022572,MIMAT0027355,hsa-miR-6727-5p,5p,chr1,-,1312539,1312561
MI0022572,MIMAT0027356,hsa-miR-6727-3p,3p,chr1,-,1312502,1312521
MI0022653,MIMAT0027516,hsa-miR-6808-5p,5p,chr1,-,1339682,1339703
MI0022653,MIMAT0027517,hsa-miR-6808-3p,3p,chr1,-,1339650,1339670
MI0015861,MIMAT0016883,hsa-miR-4251,3p,chr1,+,3128009,3128025
MI0003556,MIMAT0003214,hsa-miR-551a,3p,chr1,-,3560710,3560730
MI0017322,MIMAT0019778,hsa-miR-4689,5p,chr1,-,5862711,5862732
MI0015864,MIMAT0016886,hsa-miR-4252,3p,chr1,-,6429844,6429862
MI0022573,MIMAT0027357,hsa-miR-6728-5p,5p,chr1,-,8866563,8866585
MI0022573,MIMAT0027358,hsa-miR-6728-3p,3p,chr1,-,8866502,8866522
MI0000268,MIMAT0000255,hsa-miR-34a-5p,5p,chr1,-,9151735,9151756
MI0000268,MIMAT0004557,hsa-miR-34a-3p,3p,chr1,-,9151693,9151714
MI0019304,MIMAT0022490,hsa-miR-5697,5p,chr1,+,9967390,9967411
MI0022574,MIMAT0027359,hsa-miR-6729-5p,5p,chr1,+,12029163,12029184
MI0022574,MIMAT0027360,hsa-miR-6729-3p,3p,chr1,+,12029202,12029222
MI0025516,MIMAT0030421,hsa-miR-7846-3p,3p,chr1,+,12167010,12167030
MI0017259,MIMAT0019688,hsa-miR-4632-3p,3p,chr1,+,12191752,12191773
MI0017259,MIMAT0022977,hsa-miR-4632-5p,5p,chr1,+,12191713,12191735
MI0022575,MIMAT0027361,hsa-miR-6730-5p,5p,chr1,-,12578996,12579018
MI0022575,MIMAT0027362,hsa-miR-6730-3p,3p,chr1,-,12578958,12578979
MI0016076,MIMAT0018098,hsa-miR-3675-5p,5p,chr1,-,16858988,16859010
MI0016076,MIMAT0018099,hsa-miR-3675-3p,3p,chr1,-,16858958,16858979
MI0016990,MIMAT0019357,hsa-miR-3972,3p,chr1,+,17277948,17277969
MI0017328,MIMAT0019788,hsa-miR-4695-5p,5p,chr1,-,18883250,18883271
MI0017328,MIMAT0019789,hsa-miR-4695-3p,3p,chr1,-,18883204,18883225
MI0006352,MIMAT0005880,hsa-miR-1290,3p,chr1,-,18897078,18897096
MI0020361,MIMAT0023709,hsa-miR-6084,3p,chr1,+,20633756,20633775
MI0006390,MIMAT0005907,hsa-miR-1256,5p,chr1,-,20988377,20988398
MI0016754,MIMAT0018930,hsa-miR-4418,3p,chr1,+,22266277,22266294
MI0021271,MIMAT0024610,hsa-miR-6127,5p,chr1,-,22633328,22633346
MI0017316,MIMAT0019769,hsa-miR-4684-5p,5p,chr1,+,22719530,22719551
MI0017316,MIMAT0019770,hsa-miR-4684-3p,3p,chr1,+,22719566,22719587
MI0015860,MIMAT0016882,hsa-miR-4253,3p,chr1,-,22863169,22863186
MI0014127,MIMAT0014977,hsa-miR-3115,5p,chr1,+,23044310,23044329
MI0016756,MIMAT0018932,hsa-miR-378f,3p,chr1,+,23929121,23929140
MI0022576,MIMAT0027363,hsa-miR-6731-5p,5p,chr1,-,24919390,24919411
MI0022576,MIMAT0027364,hsa-miR-6731-3p,3p,chr1,-,24919345,24919365
MI0016764,MIMAT0018940,hsa-miR-4425,3p,chr1,+,25023552,25023573
MI0016423,MIMAT0018191,hsa-miR-3917,3p,chr1,-,25906384,25906403
MI0009986,MIMAT0009451,hsa-miR-1976,3p,chr1,+,26554574,26554593
MI0016757,MIMAT0018933,hsa-miR-4420,3p,chr1,-,30739158,30739179
MI0015862,MIMAT0016884,hsa-miR-4254,3p,chr1,-,31758670,31758692
MI0019142,MIMAT0022285,hsa-miR-5585-5p,5p,chr1,+,32086949,32086970
MI0019142,MIMAT0022286,hsa-miR-5585-3p,3p,chr1,+,32086986,32087007
MI0015995,MIMAT0017981,hsa-miR-3605-5p,5p,chr1,-,33332449,33332471
MI0015995,MIMAT0017982,hsa-miR-3605-3p,3p,chr1,-,33332405,33332427
MI0003557,MIMAT0003215,hsa-miR-552-3p,3p,chr1,-,34669614,34669634
MI0003557,MIMAT0026615,hsa-miR-552-5p,5p,chr1,-,34669650,34669670
MI0015863,MIMAT0016885,hsa-miR-4255,5p,chr1,+,37161573,37161589
MI0022577,MIMAT0027365,hsa-miR-6732-5p,5p,chr1,+,37480235,37480254
MI0022577,MIMAT0027366,hsa-miR-6732-3p,3p,chr1,+,37480267,37480289
MI0019136,MIMAT0022275,hsa-miR-5581-5p,5p,chr1,-,37500973,37500994
MI0019136,MIMAT0022276,hsa-miR-5581-3p,3p,chr1,-,37500935,37500956
MI0016060,MIMAT0018080,hsa-miR-3659,3p,chr1,+,38089289,38089309
MI0000749,MIMAT0000692,hsa-miR-30e-5p,5p,chr1,+,40754371,40754392
MI0000749,MIMAT0000693,hsa-miR-30e-3p,3p,chr1,+,40754413,40754434
MI0000736,MIMAT0000244,hsa-miR-30c-5p,5p,chr1,+,40757300,40757322
MI0000736,MIMAT0004674,hsa-miR-30c-1-3p,3p,chr1,+,40757339,40757360
MI0022578,MIMAT0027367,hsa-miR-6733-5p,5p,chr1,-,43171686,43171707
MI0022578,MIMAT0027368,hsa-miR-6733-3p,3p,chr1,-,43171652,43171671
MI0022579,MIMAT0027369,hsa-miR-6734-5p,5p,chr1,-,43364688,43364710
MI0022579,MIMAT0027370,hsa-miR-6734-3p,3p,chr1,-,43364648,43364670
MI0022580,MIMAT0027371,hsa-miR-6735-5p,5p,chr1,+,43448544,43448568
MI0022580,MIMAT0027372,hsa-miR-6735-3p,3p,chr1,+,43448590,43448611
MI0020356,MIMAT0023704,hsa-miR-6079,3p,chr1,+,43838657,43838680
MI0019141,MIMAT0022283,hsa-miR-5584-5p,5p,chr1,+,44545493,44545514
MI0019141,MIMAT0022284,hsa-miR-5584-3p,3p,chr1,+,44545531,44545552
MI0016758,MIMAT0018934,hsa-miR-4421,3p,chr1,+,51059879,51059900
MI0022211,MIMAT0025454,hsa-miR-6500-5p,5p,chr1,+,51060031,51060054
MI0022211,MIMAT0025455,hsa-miR-6500-3p,3p,chr1,+,51060072,51060092
MI0003941,MIMAT0010364,hsa-miR-761,5p,chr1,-,51836375,51836396
MI0017426,MIMAT0019942,hsa-miR-4781-5p,5p,chr1,+,54054091,54054111
MI0017426,MIMAT0019943,hsa-miR-4781-3p,3p,chr1,+,54054124,54054145
MI0016759,MIMAT0018935,hsa-miR-4422,5p,chr1,+,55225656,55225676
MI0017345,MIMAT0019816,hsa-miR-4711-5p,5p,chr1,-,59733269,59733291
MI0017345,MIMAT0019817,hsa-miR-4711-3p,3p,chr1,-,59733235,59733252
MI0039734,MIMAT0049026,hsa-miR-12132,3p,chr1,+,61846140,61846161
MI0014128,MIMAT0014978,hsa-miR-3116,3p,chr1,+,62078830,62078851
MI0014129,MIMAT0014978,hsa-miR-3116,3p,chr1,-,62078794,62078815
MI0020345,MIMAT0023693,hsa-miR-6068,5p,chr1,-,63326964,63326984
MI0017441,MIMAT0019967,hsa-miR-4794,5p,chr1,+,64579855,64579876
MI0016072,MIMAT0018094,hsa-miR-3671,3p,chr1,-,65057762,65057783
MI0000103,MIMAT0004513,hsa-miR-101-5p,5p,chr1,-,65058477,65058498
MI0000103,MIMAT0000099,hsa-miR-101-3p,3p,chr1,-,65058442,65058462
MI0014130,MIMAT0014979,hsa-miR-3117-3p,3p,chr1,+,66628485,66628505
MI0014130,MIMAT0019197,hsa-miR-3117-5p,5p,chr1,+,66628452,66628471
MI0006397,MIMAT0005914,hsa-miR-1262,5p,chr1,-,68183576,68183597
MI0000483,MIMAT0000456,hsa-miR-186-5p,5p,chr1,-,71067681,71067702
MI0000483,MIMAT0004612,hsa-miR-186-3p,3p,chr1,-,71067642,71067663
MI0023616,MIMAT0028222,hsa-miR-7156-5p,5p,chr1,+,77060143,77060165
MI0023616,MIMAT0028223,hsa-miR-7156-3p,3p,chr1,+,77060180,77060202
MI0016760,MIMAT0019232,hsa-miR-4423-5p,5p,chr1,+,85133806,85133827
MI0016760,MIMAT0018936,hsa-miR-4423-3p,3p,chr1,+,85133842,85133862
MI0025526,MIMAT0030431,hsa-miR-7856-5p,5p,chr1,-,86357665,86357685
MI0005567,MIMAT0004957,hsa-miR-760,3p,chr1,+,93846880,93846899
MI0039735,MIMAT0049027,hsa-miR-12133,3p,chr1,+,94543754,94543775
MI0012063,MIMAT0013517,hsa-miR-2682-5p,5p,chr1,-,98045307,98045329
MI0012063,MIMAT0013518,hsa-miR-2682-3p,3p,chr1,-,98045271,98045292
MI0000454,MIMAT0000429,hsa-miR-137-3p,3p,chr1,-,98046091,98046113
MI0000454,MIMAT0037310,hsa-miR-137-5p,5p,chr1,-,98046127,98046149
MI0003558,MIMAT0003216,hsa-miR-553,5p,chr1,+,100281256,100281276
MI0025522,MIMAT0030427,hsa-miR-7852-3p,3p,chr1,+,107897282,107897303
MI0000239,MIMAT0000227,hsa-miR-197-3p,3p,chr1,+,109598940,109598961
MI0000239,MIMAT0022691,hsa-miR-197-5p,5p,chr1,+,109598901,109598923
MI0015855,MIMAT0016877,hsa-miR-4256,5p,chr1,-,112461806,112461823
MI0036558,MIMAT0044656,hsa-miR-11399,5p,chr1,+,112882060,112882081
MI0016762,MIMAT0018938,hsa-miR-548ac,3p,chr1,-,116560038,116560059
MI0003776,MIMAT0005792,hsa-miR-320b,3p,chr1,+,116671787,116671808
MI0005767,MIMAT0004985,hsa-miR-942-5p,5p,chr1,+,117094655,117094676
MI0005767,MIMAT0026734,hsa-miR-942-3p,3p,chr1,+,117094695,117094716
MI0022581,MIMAT0027373,hsa-miR-6736-5p,5p,chr1,-,145850620,145850640
MI0022581,MIMAT0027374,hsa-miR-6736-3p,3p,chr1,-,145850587,145850607
MI0017976,MIMAT0021079,hsa-miR-5087,5p,chr1,-,148334522,148334544
MI0020354,MIMAT0023702,hsa-miR-6077,5p,chr1,+,148388294,148388314
MI0022725,MIMAT0027656,hsa-miR-6878-5p,5p,chr1,+,150492350,150492372
MI0022725,MIMAT0027657,hsa-miR-6878-3p,3p,chr1,+,150492390,150492410
MI0015856,MIMAT0016878,hsa-miR-4257,3p,chr1,+,150551987,150552004
MI0003559,MIMAT0003217,hsa-miR-554,5p,chr1,+,151545811,151545831
MI0025919,MIMAT0031010,hsa-miR-8083,5p,chr1,-,153689763,153689783
MI0022582,MIMAT0027375,hsa-miR-6737-5p,5p,chr1,-,153962395,153962415
MI0022582,MIMAT0027376,hsa-miR-6737-3p,3p,chr1,-,153962351,153962372
MI0019305,MIMAT0022491,hsa-miR-5698,5p,chr1,-,154104562,154104583
MI0005545,MIMAT0004929,hsa-miR-190b-5p,5p,chr1,-,154193712,154193733
MI0005545,MIMAT0037332,hsa-miR-190b-3p,3p,chr1,-,154193676,154193696
MI0015857,MIMAT0016879,hsa-miR-4258,5p,chr1,+,154975703,154975719
MI0003560,MIMAT0004792,hsa-miR-92b-5p,5p,chr1,+,155195196,155195217
MI0003560,MIMAT0003218,hsa-miR-92b-3p,3p,chr1,+,155195237,155195258
MI0003561,MIMAT0003219,hsa-miR-555,3p,chr1,-,155346365,155346385
MI0022583,MIMAT0027377,hsa-miR-6738-5p,5p,chr1,-,155951309,155951331
MI0022583,MIMAT0027378,hsa-miR-6738-3p,3p,chr1,-,155951273,155951296
MI0000466,MIMAT0000441,hsa-miR-9-5p,5p,chr1,-,156420392,156420414
MI0000466,MIMAT0000442,hsa-miR-9-3p,3p,chr1,-,156420354,156420375
MI0005116,MIMAT0003945,hsa-miR-765,3p,chr1,-,156936156,156936176
MI0015858,MIMAT0016880,hsa-miR-4259,3p,chr1,-,159899989,159900010
MI0018166,MIMAT0021117,hsa-miR-5187-5p,5p,chr1,+,161227195,161227216
MI0018166,MIMAT0021118,hsa-miR-5187-3p,3p,chr1,+,161227237,161227257
MI0017282,MIMAT0019720,hsa-miR-4654,5p,chr1,+,162157116,162157137
MI0003562,MIMAT0003220,hsa-miR-556-5p,5p,chr1,+,162342561,162342582
MI0003562,MIMAT0004793,hsa-miR-556-3p,3p,chr1,+,162342600,162342621
MI0016058,MIMAT0018078,hsa-miR-3658,5p,chr1,+,165907923,165907944
MI0005713,MIMAT0004971,hsa-miR-921,5p,chr1,-,166154773,166154797
MI0006436,MIMAT0005945,hsa-miR-1255b-5p,5p,chr1,+,167998665,167998686
MI0006436,MIMAT0022725,hsa-miR-1255b-2-3p,3p,chr1,+,167998699,167998720
MI0003563,MIMAT0003221,hsa-miR-557,3p,chr1,+,168375584,168375606
MI0014134,MIMAT0014981,hsa-miR-3119,5p,chr1,-,170151435,170151454
MI0014135,MIMAT0014981,hsa-miR-3119,5p,chr1,+,170151386,170151405
MI0006357,MIMAT0005885,hsa-miR-1295a,3p,chr1,-,171101738,171101758
MI0019146,MIMAT0022293,hsa-miR-1295b-5p,5p,chr1,+,171101739,171101759
MI0019146,MIMAT0022294,hsa-miR-1295b-3p,3p,chr1,+,171101777,171101798
MI0000290,MIMAT0004564,hsa-miR-214-5p,5p,chr1,-,172138857,172138878
MI0000290,MIMAT0000271,hsa-miR-214-3p,3p,chr1,-,172138816,172138837
MI0014136,MIMAT0014982,hsa-miR-3120-3p,3p,chr1,+,172138858,172138878
MI0014136,MIMAT0019198,hsa-miR-3120-5p,5p,chr1,+,172138820,172138840
MI0000281,MIMAT0000231,hsa-miR-199a-5p,5p,chr1,-,172144592,172144614
MI0000281,MIMAT0000232,hsa-miR-199a-3p,3p,chr1,-,172144554,172144575
MI0032314,MIMAT0039764,hsa-miR-1843,5p,chr1,-,175968440,175968459
MI0003123,MIMAT0002804,hsa-miR-488-5p,5p,chr1,-,177029412,177029432
MI0003123,MIMAT0004763,hsa-miR-488-3p,3p,chr1,-,177029374,177029394
MI0016763,MIMAT0018939,hsa-miR-4424,5p,chr1,+,178677763,178677784
MI0039718,MIMAT0049010,hsa-miR-12116,5p,chr1,+,179803938,179803959
MI0014137,MIMAT0014983,hsa-miR-3121-3p,3p,chr1,-,180438323,180438344
MI0014137,MIMAT0019199,hsa-miR-3121-5p,5p,chr1,-,180438358,180438379
MI0016765,MIMAT0018941,hsa-miR-4426,5p,chr1,+,192716333,192716349
MI0006425,MIMAT0005936,hsa-miR-1278,3p,chr1,+,193136552,193136573
MI0017372,MIMAT0019860,hsa-miR-4735-5p,5p,chr1,-,196582453,196582474
MI0017372,MIMAT0019861,hsa-miR-4735-3p,3p,chr1,-,196582417,196582437
MI0000270,MIMAT0000257,hsa-miR-181b-5p,5p,chr1,-,198858925,198858947
MI0000270,MIMAT0022692,hsa-miR-181b-3p,3p,chr1,-,198858887,198858907
MI0000289,MIMAT0000256,hsa-miR-181a-5p,5p,chr1,-,198859108,198859130
MI0000289,MIMAT0000270,hsa-miR-181a-3p,3p,chr1,-,198859069,198859090
MI0018170,MIMAT0021122,hsa-miR-5191,3p,chr1,+,201719579,201719600
MI0006321,MIMAT0005586,hsa-miR-1231,5p,chr1,+,201808615,201808634
MI0022584,MIMAT0027379,hsa-miR-6739-5p,5p,chr1,+,201863378,201863399
MI0022584,MIMAT0027380,hsa-miR-6739-3p,3p,chr1,+,201863427,201863447
MI0022585,MIMAT0027381,hsa-miR-6740-5p,5p,chr1,+,202003129,202003150
MI0022585,MIMAT0027382,hsa-miR-6740-3p,3p,chr1,+,202003215,202003236
MI0000810,MIMAT0000758,hsa-miR-135b-5p,5p,chr1,-,205448361,205448383
MI0000810,MIMAT0004698,hsa-miR-135b-3p,3p,chr1,-,205448323,205448344
MI0022706,MIMAT0027620,hsa-miR-6769b-5p,5p,chr1,+,206474808,206474830
MI0022706,MIMAT0027621,hsa-miR-6769b-3p,3p,chr1,+,206474844,206474864
MI0000735,MIMAT0004673,hsa-miR-29c-5p,5p,chr1,-,207801903,207801924
MI0000735,MIMAT0000681,hsa-miR-29c-3p,3p,chr1,-,207801865,207801886
MI0000107,MIMAT0000100,hsa-miR-29b-3p,3p,chr1,-,207802450,207802472
MI0000107,MIMAT0004515,hsa-miR-29b-2-5p,5p,chr1,-,207802492,207802513
MI0000285,MIMAT0000266,hsa-miR-205-5p,5p,chr1,+,209432166,209432187
MI0000285,MIMAT0009197,hsa-miR-205-3p,3p,chr1,+,209432203,209432223
MI0015859,MIMAT0016881,hsa-miR-4260,5p,chr1,-,209623482,209623500
MI0014138,MIMAT0014984,hsa-miR-3122,5p,chr1,+,212077622,212077643
MI0000291,MIMAT0000272,hsa-miR-215-5p,5p,chr1,-,220117916,220117936
MI0000291,MIMAT0026476,hsa-miR-215-3p,3p,chr1,-,220117877,220117899
MI0000488,MIMAT0000460,hsa-miR-194-5p,5p,chr1,-,220118206,220118227
MI0006442,MIMAT0005948,hsa-miR-664a-5p,5p,chr1,-,220200586,220200609
