0,1,2,3,4,5,6,7,8
1,miRNA,17409,17431,-,MIMAT0027618,MIMAT0027618,Name=hsa-miR-6859-5p,Derives_from=MI0022705
1,miRNA,17369,17391,-,MIMAT0027619,MIMAT0027619,Name=hsa-miR-6859-3p,Derives_from=MI0022705
1,miRNA,30438,30458,+,MIMAT0005890,MIMAT0005890,Name=hsa-miR-1302,Derives_from=MI0006363
1,miRNA,187931,187953,-,MIMAT0027618_1,MIMAT0027618,Name=hsa-miR-6859-5p,Derives_from=MI0026420
1,miRNA,187891,187913,-,MIMAT0027619_1,MIMAT0027619,Name=hsa-miR-6859-3p,Derives_from=MI0026420
1,miRNA,632668,632685,-,MIMAT0049032,MIMAT0049032,Name=hsa-miR-12136,Derives_from=MI0039740
1,miRNA,1167124,1167145,+,MIMAT0004571,MIMAT0004571,Name=hsa-miR-200b-5p,Derives_from=MI0000342
1,miRNA,1167160,1167181,+,MIMAT0000318,MIMAT0000318,Name=hsa-miR-200b-3p,Derives_from=MI0000342
1,miRNA,1167878,1167899,+,MIMAT0001620,MIMAT0001620,Name=hsa-miR-200a-5p,Derives_from=MI0000737
1,miRNA,1167916,1167937,+,MIMAT0000682,MIMAT0000682,Name=hsa-miR-200a-3p,Derives_from=MI0000737
1,miRNA,1169055,1169076,+,MIMAT0001536,MIMAT0001536,Name=hsa-miR-429,Derives_from=MI0001641
1,miRNA,1296145,1296165,-,MIMAT0027353,MIMAT0027353,Name=hsa-miR-6726-5p,Derives_from=MI0022571
1,miRNA,1296110,1296129,-,MIMAT0027354,MIMAT0027354,Name=hsa-miR-6726-3p,Derives_from=MI0022571
1,miRNA,1312539,1312561,-,MIMAT0027355,MIMAT0027355,Name=hsa-miR-6727-5p,Derives_from=MI0022572
1,miRNA,1312502,1312521,-,MIMAT0027356,MIMAT0027356,Name=hsa-miR-6727-3p,Derives_from=MI0022572
1,miRNA,1339682,1339703,-,MIMAT0027516,MIMAT0027516,Name=hsa-miR-6808-5p,Derives_from=MI0022653
